id,count,doc,NumWords
2,1,1,252
822,1,1,252
272,1,1,252
823,1,1,252
591,1,1,252
964,1,1,252
826,1,1,252
462,1,1,252
3,1,1,252
12,2,1,252
556,1,1,252
286,1,1,252
287,1,1,252
288,1,1,252
289,1,1,252
565,1,1,252
567,1,1,252
291,1,1,252
276,1,1,252
841,1,1,252
294,1,1,252
846,1,1,252
574,1,1,252
255,1,1,252
300,1,1,252
30,1,1,252
580,1,1,252
829,1,1,252
38,1,1,252
280,1,1,252
865,1,1,252
866,2,1,252
868,2,1,252
923,1,1,252
871,1,1,252
48,1,1,252
873,1,1,252
830,1,1,252
600,1,1,252
882,1,1,252
540,1,1,252
11,1,1,252
546,1,1,252
328,1,1,252
786,1,1,252
892,1,1,252
893,1,1,252
613,1,1,252
614,2,1,252
896,1,1,252
239,1,1,252
338,2,1,252
75,1,1,252
476,1,1,252
341,1,1,252
622,3,1,252
624,1,1,252
80,1,1,252
344,1,1,252
348,1,1,252
359,2,1,252
791,1,1,252
641,1,1,252
642,1,1,252
643,1,1,252
99,2,1,252
594,1,1,252
648,2,1,252
103,1,1,252
156,1,1,252
369,1,1,252
104,2,1,252
708,1,1,252
930,1,1,252
373,1,1,252
374,1,1,252
935,2,1,252
110,1,1,252
111,1,1,252
939,1,1,252
941,1,1,252
942,1,1,252
116,1,1,252
723,1,1,252
120,3,1,252
121,1,1,252
675,2,1,252
936,1,1,252
128,2,1,252
955,1,1,252
684,2,1,252
957,1,1,252
133,1,1,252
692,1,1,252
965,1,1,252
696,1,1,252
849,1,1,252
700,1,1,252
414,13,1,252
150,1,1,252
702,2,1,252
423,1,1,252
154,1,1,252
707,1,1,252
157,1,1,252
984,1,1,252
437,3,1,252
438,1,1,252
715,1,1,252
987,1,1,252
166,2,1,252
167,1,1,252
168,1,1,252
993,1,1,252
994,1,1,252
448,11,1,252
944,1,1,252
1002,1,1,252
1003,2,1,252
500,1,1,252
458,1,1,252
1010,1,1,252
733,2,1,252
553,5,1,252
736,1,1,252
1014,5,1,252
1016,1,1,252
1022,1,1,252
469,1,1,252
211,1,1,252
751,1,1,252
752,1,1,252
202,1,1,252
203,1,1,252
205,1,1,252
756,1,1,252
208,2,1,252
1082,1,1,252
1034,2,1,252
857,1,1,252
1038,1,1,252
1039,1,1,252
219,2,1,252
768,1,1,252
533,1,1,252
494,1,1,252
227,1,1,252
499,1,1,252
778,1,1,252
502,1,1,252
1055,1,1,252
1056,1,1,252
784,1,1,252
55,1,1,252
785,1,1,252
439,2,1,252
336,1,1,252
513,1,1,252
514,2,1,252
1063,1,1,252
1064,1,1,252
519,1,1,252
1066,4,1,252
246,1,1,252
1067,1,1,252
1068,1,1,252
516,1,1,252
254,1,1,252
800,1,1,252
1073,5,1,252
258,1,1,252
262,1,1,252
806,1,1,252
264,1,1,252
271,1,1,252
575,1,1,252
812,1,1,252
1087,1,1,252
267,1,1,252
109,1,1,252
440,1,1,252
816,4,1,252
1090,1,1,252
818,1,1,252
6,2,2,626
8,1,2,626
10,1,2,626
62,1,2,626
12,2,2,626
18,1,2,626
24,1,2,626
25,1,2,626
191,2,2,626
30,1,2,626
33,1,2,626
39,1,2,626
48,2,2,626
52,4,2,626
61,1,2,626
11,1,2,626
64,1,2,626
67,1,2,626
70,2,2,626
71,1,2,626
72,1,2,626
73,4,2,626
74,1,2,626
79,1,2,626
80,1,2,626
84,2,2,626
89,1,2,626
91,1,2,626
92,1,2,626
97,3,2,626
98,1,2,626
242,1,2,626
100,1,2,626
102,1,2,626
103,1,2,626
108,1,2,626
110,1,2,626
116,3,2,626
118,1,2,626
119,1,2,626
120,10,2,626
124,1,2,626
128,1,2,626
130,2,2,626
135,1,2,626
137,2,2,626
138,1,2,626
140,1,2,626
142,3,2,626
144,1,2,626
147,1,2,626
152,1,2,626
156,1,2,626
160,1,2,626
164,1,2,626
165,1,2,626
166,3,2,626
167,1,2,626
168,1,2,626
169,1,2,626
170,1,2,626
171,1,2,626
174,1,2,626
175,1,2,626
177,1,2,626
179,1,2,626
182,1,2,626
183,1,2,626
196,1,2,626
197,1,2,626
198,1,2,626
200,1,2,626
201,1,2,626
206,1,2,626
208,2,2,626
212,1,2,626
214,1,2,626
216,3,2,626
